trial_id,trial_type,condition,frame_idx,t_ms,n_dets,n_tracks,det_track_ms,embed_ms,match_ms,total_ms,new_tracks,lost_tracks,unknown_tracks
1768785263173_swipe,swipe,near/bright,1,1768785263619,3,3,112.286,119.506,1.086,249.436,3,0,3
1768785263173_swipe,swipe,near/bright,2,1768785264008,3,3,100.896,114.258,1.068,232.27,0,0,3
1768785263173_swipe,swipe,near/bright,3,1768785264405,3,3,102.843,118.371,1.106,240.215,0,0,3
1768785263173_swipe,swipe,near/bright,4,1768785264793,3,3,100.335,114.369,1.17,231.473,0,0,3
1768785263173_swipe,swipe,near/bright,5,1768785265226,3,3,126.894,127.275,1.211,273.215,0,0,3
1768785263173_swipe,swipe,near/bright,6,1768785265621,3,3,105.572,116.716,1.183,237.661,0,0,3
1768785263173_swipe,swipe,near/bright,7,1768785266110,3,3,158.416,145.988,1.223,323.621,0,0,3
1768785263173_swipe,swipe,near/bright,8,1768785266550,3,3,117.015,129.612,1.142,266.485,0,0,3
1768785263173_swipe,swipe,near/bright,9,1768785266971,3,3,124.314,114.867,1.059,256.018,0,0,3
1768785263173_swipe,swipe,near/bright,10,1768785267362,3,3,98.126,115.221,1.167,231.678,0,0,3
1768785263173_swipe,swipe,near/bright,11,1768785267749,3,3,97.002,113.919,1.192,229.778,0,0,3
1768785263173_swipe,swipe,near/bright,12,1768785268129,3,3,98.333,111.37,0.736,226.798,0,0,3
1768785263173_swipe,swipe,near/bright,13,1768785268522,3,3,103.033,114.754,1.183,237.256,0,0,3
1768785263173_swipe,swipe,near/bright,14,1768785268911,3,3,104.087,111.095,1.107,231.435,0,0,3
1768785263173_swipe,swipe,near/bright,15,1768785269306,3,3,100.417,114.007,1.23,234.972,0,0,3
1768785263173_swipe,swipe,near/bright,16,1768785269759,3,3,118.083,129.583,1.446,272.972,0,0,3
1768785263173_swipe,swipe,near/bright,17,1768785270256,3,3,132.255,135.484,1.648,294.306,0,0,3
1768785263173_swipe,swipe,near/bright,18,1768785270730,3,3,116.481,130.962,1.449,271.925,0,0,3
1768785263173_swipe,swipe,near/bright,19,1768785271213,3,3,127.463,132.173,1.037,283.429,0,0,3
1768785263173_swipe,swipe,near/bright,20,1768785271702,3,3,125.175,134.655,1.102,284.594,0,0,3
1768785263173_swipe,swipe,near/bright,21,1768785272197,3,3,126.281,139.62,1.655,290.104,0,0,3
1768785263173_swipe,swipe,near/bright,22,1768785272677,3,3,121.53,127.284,1.38,273.617,0,0,3
1768785263173_swipe,swipe,near/bright,23,1768785273161,3,3,121.3,136.206,1.545,282.363,0,0,3
1768785263173_swipe,swipe,near/bright,24,1768785273651,3,3,126.935,134.398,1.395,287.354,0,0,3
1768785263173_swipe,swipe,near/bright,25,1768785274143,3,3,124.117,143.229,1.595,292.909,0,0,3
1768785263173_swipe,swipe,near/bright,26,1768785274657,3,3,134.67,144.778,1.58,308.331,0,0,3
1768785263173_swipe,swipe,near/bright,27,1768785275140,2,2,142.905,109.475,1.123,276.567,0,1,2
1768785263173_swipe,swipe,near/bright,28,1768785275590,2,2,122.658,93.025,0.996,239.443,0,0,2
