trial_id,t_wall,frame_idx,lighting,distance,n_users_roster,n_users_db,cam_w,cam_h,proc_fps,drained,slot_idx,true_id,track_id,detected,det_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_area,best_id,best_sim,second_id,second_sim,margin,accepted_id,stable_id,pending_id,pending_count,is_correct_accepted,is_correct_stable,is_wrong_accepted,is_miss,lat_det_ms,lat_emb_ms,lat_match_ms,lat_total_ms
Bright_Far_20260114_210600_T6,1736904000.04,1,Bright,Far,4,4,1280,720,25.187967197939486,0,0,diana,1,1,0.7577185108971037,132.85990455830824,206.34467393280977,228.5371695702383,349.1363895292412,13661.920814627918,diana,0.8663593059109941,bob,0.7233203849544336,0.14303892095656046,diana,diana,diana,3,1,1,0,0,13.668705692953633,11.326945080710571,5.685566309191797,30.681217082856
Bright_Far_20260114_210600_T6,1736904000.04,1,Bright,Far,4,4,1280,720,25.187967197939486,0,1,chen,2,1,0.7017025897780784,415.4767803418145,247.30871038500788,515.791018396779,460.4221978389486,21378.3171131783,chen,0.8754376978799557,alice,0.764888591113572,0.11054910676638374,chen,chen,chen,2,1,1,0,0,13.668705692953633,11.326945080710571,5.685566309191797,30.681217082856
Bright_Far_20260114_210600_T6,1736904000.04,1,Bright,Far,4,4,1280,720,25.187967197939486,0,2,alice,3,1,0.7752687596530503,747.1163910195671,179.55668529479044,860.472361829321,357.95066911097865,20222.02322210354,chen,0.8332753588406849,alice,0.8022299411964762,0.03104541764420876,chen,chen,chen,1,0,0,1,0,13.668705692953633,11.326945080710571,5.685566309191797,30.681217082856
Bright_Far_20260114_210600_T6,1736904000.04,1,Bright,Far,4,4,1280,720,25.187967197939486,0,3,bob,4,1,0.6876651561347952,1088.5898374114522,178.64383920135379,1180.1677156691549,393.4961472910669,19675.71851362617,bob,0.8888306108230817,diana,0.7694849048148245,0.11934570600825722,bob,bob,bob,2,1,1,0,0,13.668705692953633,11.326945080710571,5.685566309191797,30.681217082856
Bright_Far_20260114_210600_T6,1736904000.08,2,Bright,Far,4,4,1280,720,24.11560269186875,1,0,diana,1,1,0.6742087354229265,117.99470197083448,203.66256569239286,221.88438925707,409.61257237568475,21396.081790925313,diana,0.9486306378503673,alice,0.8160889738866864,0.13254166396368083,diana,diana,diana,3,1,1,0,0,16.211693577879075,13.414877153895004,6.605398252794361,36.23196898456844
Bright_Far_20260114_210600_T6,1736904000.08,2,Bright,Far,4,4,1280,720,24.11560269186875,1,1,chen,2,1,0.7651581465713087,415.54761634977285,230.7239115110192,528.5892096105317,365.18649129402934,15199.86425262337,chen,0.872417394725371,bob,0.7243439609172051,0.14807343380816596,chen,chen,chen,3,1,1,0,0,16.211693577879075,13.414877153895004,6.605398252794361,36.23196898456844
Bright_Far_20260114_210600_T6,1736904000.08,2,Bright,Far,4,4,1280,720,24.11560269186875,1,2,alice,3,1,0.8454771810153906,748.7336420343156,249.16845411469822,835.1704692625972,414.6897248218629,14307.133478720818,alice,0.9132760039958544,diana,0.784710142360185,0.1285658616356694,alice,alice,alice,3,1,1,0,0,16.211693577879075,13.414877153895004,6.605398252794361,36.23196898456844
Bright_Far_20260114_210600_T6,1736904000.08,2,Bright,Far,4,4,1280,720,24.11560269186875,1,3,bob,4,1,0.7179116530499445,1067.8593999376496,264.54155235700455,1182.4064689500995,427.0268840180729,18612.218499291193,bob,0.8689933138971082,diana,0.7183630247574029,0.15063028913970533,bob,bob,bob,2,1,1,0,0,16.211693577879075,13.414877153895004,6.605398252794361,36.23196898456844
Bright_Far_20260114_210600_T6,1736904000.12,3,Bright,Far,4,4,1280,720,25.195543525249562,0,0,diana,1,1,0.971399390607362,103.21095914403548,177.87866976738687,210.96249100491406,381.8039555474652,21973.261927970878,diana,0.8772183114787209,chen,0.6978991575813104,0.1793191538974105,diana,diana,diana,2,1,1,0,0,19.36317760063344,14.135299977428053,6.214068992915498,39.71254657097699
Bright_Far_20260114_210600_T6,1736904000.12,3,Bright,Far,4,4,1280,720,25.195543525249562,0,1,chen,2,1,0.7043162582192892,416.4858572296894,248.40995952918868,521.1533842533242,440.8899742756769,20146.407144987694,chen,0.7815950700148375,alice,0.6590485746870357,0.12254649532780182,chen,chen,chen,2,1,1,0,0,19.36317760063344,14.135299977428053,6.214068992915498,39.71254657097699
