trial_id,trial_type,condition,frame_idx,t_ms,n_dets,n_tracks,det_track_ms,embed_ms,match_ms,total_ms,new_tracks,lost_tracks,unknown_tracks
1768784322817_swipe,swipe,near/bright,1,1768784323720,4,4,499.076,165.672,0.551,691.802,4,0,4
1768784322817_swipe,swipe,near/bright,2,1768784324158,4,4,89.512,153.888,0.644,270.818,0,0,4
1768784322817_swipe,swipe,near/bright,3,1768784324612,4,4,97.998,155.947,0.419,278.586,0,0,4
1768784322817_swipe,swipe,near/bright,4,1768784325043,4,4,93.619,149.964,0.389,264.342,0,0,4
1768784322817_swipe,swipe,near/bright,5,1768784325478,4,4,95.266,153.592,0.569,273.619,0,0,4
1768784322817_swipe,swipe,near/bright,6,1768784325921,4,4,96.184,151.097,0.548,273.369,0,0,4
1768784322817_swipe,swipe,near/bright,7,1768784326357,4,4,96.111,151.341,0.518,271.079,0,0,4
1768784322817_swipe,swipe,near/bright,8,1768784326794,4,4,95.718,154.407,0.575,274.519,0,0,4
1768784322817_swipe,swipe,near/bright,9,1768784327235,4,4,93.498,156.968,0.57,275.496,0,0,4
1768784322817_swipe,swipe,near/bright,10,1768784327661,4,4,93.474,148.592,0.422,264.08,0,0,4
1768784322817_swipe,swipe,near/bright,11,1768784328089,4,4,90.777,150.156,0.586,264.012,0,0,4
1768784322817_swipe,swipe,near/bright,12,1768784328510,4,4,89.376,146.47,0.566,258.43,0,0,4
1768784322817_swipe,swipe,near/bright,13,1768784328930,4,4,88.602,146.125,0.558,258.978,0,0,4
1768784322817_swipe,swipe,near/bright,14,1768784329395,4,4,111.196,161.578,0.582,297.044,0,0,4
1768784322817_swipe,swipe,near/bright,15,1768784329943,4,4,132.506,216.377,0.651,378.741,0,0,4
1768784322817_swipe,swipe,near/bright,16,1768784330455,4,4,129.343,173.24,0.646,331.43,0,0,4
1768784322817_swipe,swipe,near/bright,17,1768784330883,3,3,107.898,128.674,0.454,261.285,0,1,3
1768784322817_swipe,swipe,near/bright,18,1768784331303,4,4,94.434,149.54,0.594,267.696,1,0,4
1768784322817_swipe,swipe,near/bright,19,1768784331714,4,4,90.663,146.724,0.53,259.498,0,0,4
1768784322817_swipe,swipe,near/bright,20,1768784332132,4,4,92.687,149.808,0.585,266.633,0,0,4
1768784322817_swipe,swipe,near/bright,21,1768784332612,4,4,109.39,168.225,0.637,304.213,0,0,4
1768784322817_swipe,swipe,near/bright,22,1768784333047,4,4,90.653,145.937,0.526,261.43,0,0,4
1768784322817_swipe,swipe,near/bright,23,1768784333445,4,4,83.957,143.724,0.559,246.056,0,0,4
1768784322817_swipe,swipe,near/bright,24,1768784333833,4,4,84.795,142.458,0.384,243.482,0,0,4
1768784322817_swipe,swipe,near/bright,25,1768784334284,4,4,89.166,175.413,0.776,290.935,0,0,4
1768784322817_swipe,swipe,near/bright,26,1768784334688,4,4,85.651,143.926,0.381,248.394,0,0,4
1768784322817_swipe,swipe,near/bright,27,1768784335112,4,4,91.498,155.911,0.651,275.338,0,0,4
